[API] [2019-08-16 19:32:08,799 26] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0328966
[API] [2019-08-16 19:32:09,256 45] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-08-16 19:32:09,261 45] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-08-16 19:32:09,277 45] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-08-16 19:32:09,292 45] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0463421
[API] [2019-08-16 19:32:09,790 44] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-08-16 19:32:09,798 44] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-08-16 19:32:09,818 44] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:32:09,830 44] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0412980
[API] [2019-08-16 19:32:10,282 41] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:32:10,298 41] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:32:10,318 41] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:32:10,334 41] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0504835
[API] [2019-08-16 19:32:10,809 44] [INFO] [DepartmentController] - GetDetails Started
[API] [2019-08-16 19:32:10,825 44] [INFO] [DepartmentController] - Entereed into departmentDAL
[API] [2019-08-16 19:32:10,921 44] [INFO] [DepartmentController] - Getting data from departmentDAL
[API] [2019-08-16 19:32:10,937 44] [INFO] [DepartmentController] - Time elapsed : 00:00:00.1294534
[API] [2019-08-16 19:32:11,306 44] [INFO] [DesignationController] - GetDetails Started
[API] [2019-08-16 19:32:11,322 44] [INFO] [DesignationController] - Entereed into designationDAL
[API] [2019-08-16 19:32:11,350 44] [INFO] [DesignationController] - Getting data from designationDAL
[API] [2019-08-16 19:32:11,362 44] [INFO] [DesignationController] - Time elapsed : 00:00:00.0535195
[API] [2019-08-16 19:34:10,770 55] [INFO] [EmployeesController] - Entered CreateEmployee method
[API] [2019-08-16 19:34:10,897 55] [INFO] [EmployeesController] - Creating employees in database
[API] [2019-08-16 19:34:11,037 55] [INFO] [EmployeesController] - Creating employees in database completed. Returning the status object
[API] [2019-08-16 19:34:11,037 55] [DEBUG] [EmployeesController] - Errors:Employee already exists
[API] [2019-08-16 19:34:11,037 55] [INFO] [EmployeesController] - CreateEmployee method Elapsed - 00:00:00.2781195
[API] [2019-08-16 19:34:32,968 56] [INFO] [EmployeesController] - Entered CreateEmployee method
[API] [2019-08-16 19:34:32,976 56] [INFO] [EmployeesController] - Creating employees in database
[API] [2019-08-16 19:34:32,984 56] [INFO] [EmployeesController] - Creating employees in database completed. Returning the status object
[API] [2019-08-16 19:34:32,992 56] [DEBUG] [EmployeesController] - Errors:Employee already exists
[API] [2019-08-16 19:34:33,000 56] [INFO] [EmployeesController] - CreateEmployee method Elapsed - 00:00:00.0312688
[API] [2019-08-16 19:38:04,792 66] [INFO] [EmployeesController] - Entered CreateEmployee method
[API] [2019-08-16 19:38:04,796 66] [INFO] [EmployeesController] - Creating employees in database
[API] [2019-08-16 19:38:04,947 66] [INFO] [EmployeesController] - Creating employees in database completed. Returning the status object
[API] [2019-08-16 19:38:04,963 66] [DEBUG] [EmployeesController] - Errors:Employee already exists
[API] [2019-08-16 19:38:04,979 66] [INFO] [EmployeesController] - CreateEmployee method Elapsed - 00:00:00.1891702
[API] [2019-08-16 19:38:29,479 63] [INFO] [EmployeesController] - Entered CreateEmployee method
[API] [2019-08-16 19:38:29,487 63] [INFO] [EmployeesController] - Creating employees in database
[API] [2019-08-16 19:38:29,676 63] [INFO] [EmployeesController] - Creating employees in database completed. Returning the status object
[API] [2019-08-16 19:38:29,696 63] [INFO] [EmployeesController] - CreateEmployee method Elapsed - 00:00:00.2147910
[API] [2019-08-16 19:38:30,208 65] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:38:30,216 65] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:38:30,312 65] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:38:30,320 65] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.1150714
[API] [2019-08-16 19:38:30,733 67] [INFO] [EmployeesController] - Entered EmployeesByStatus method
[API] [2019-08-16 19:38:30,749 67] [INFO] [EmployeesController] - Getting employees by status from database 
[API] [2019-08-16 19:38:30,765 67] [INFO] [EmployeesController] - Getting employees  by status from database  completed. Returning the status object
[API] [2019-08-16 19:38:30,780 67] [INFO] [EmployeesController] - EmployeesByStatus method Elapsed - 00:00:00.0487017
[API] [2019-08-16 19:38:31,265 57] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-08-16 19:38:31,285 57] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-08-16 19:38:31,413 57] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:38:31,429 57] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.1652209
[API] [2019-08-16 19:38:31,733 63] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-08-16 19:38:31,749 63] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-08-16 19:38:31,765 63] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-08-16 19:38:31,781 63] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0506457
[API] [2019-08-16 19:38:32,244 57] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:38:32,252 57] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:38:32,292 57] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
