[API] [2019-05-27 18:45:32,873 6] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:45:32,874 6] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0038679
[API] [2019-05-27 18:45:33,382 21] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:45:33,382 21] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:45:33,384 21] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:45:33,386 21] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0039856
[API] [2019-05-27 18:45:33,878 6] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:45:33,879 6] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:45:33,889 6] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:45:33,889 6] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0110267
[API] [2019-05-27 18:45:34,386 25] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:45:34,386 25] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:45:34,387 25] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:45:34,387 25] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0017832
[API] [2019-05-27 18:46:23,732 21] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:46:23,732 21] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:46:23,739 21] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:46:23,740 21] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0079192
[API] [2019-05-27 18:46:23,778 7] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-05-27 18:46:23,779 7] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
